kilometraje,edad_motor_meses,horas_conduccion,temperatura_motor,falla_15_dias
252111,77,1.9,97.6,0
149485,106,1.6,101.9,0
251099,21,13.0,82.0,0
159005,119,9.8,101.9,0
167308,67,9.2,92.6,1
294688,86,7.4,91.5,0
160216,106,6.6,96.1,0
191850,17,1.9,111.6,1
81251,39,5.0,80.3,0
22883,65,12.8,99.8,1
181975,8,1.1,83.2,0
208411,38,9.6,81.8,0
273303,64,7.9,97.6,1
64319,106,9.4,99.7,0
254536,98,11.0,88.6,1
34160,119,8.1,110.7,1
201899,105,9.3,87.9,0
10766,95,13.6,110.4,1
15655,7,12.0,101.5,0
219917,73,7.8,96.2,0
264835,65,4.9,83.3,1
227279,15,7.0,110.1,1
101998,72,9.8,109.9,1
146687,83,9.0,102.7,1
138840,93,14.0,112.7,1
221723,109,13.8,108.7,1
40823,9,4.9,86.9,0
154168,57,9.6,92.9,0
60053,29,8.1,86.6,0
205847,85,9.0,104.0,1
137562,96,9.6,110.8,1
140415,33,5.7,102.0,0
171431,118,5.8,86.7,0
76191,106,13.6,112.7,1
27969,116,3.3,84.9,0
253465,15,5.3,108.8,1
203553,42,2.7,81.1,0
234435,119,9.4,103.9,1
10452,96,4.0,105.1,1
193783,91,2.1,91.4,1
147632,33,12.1,106.1,1
53649,91,12.7,83.4,0
21110,25,6.1,94.4,0
122180,58,6.3,81.7,0
297283,55,8.1,95.2,0
47394,73,3.5,106.4,1
199344,63,4.0,84.8,0
230320,36,5.6,90.0,0
254231,76,4.6,112.7,1
169047,39,5.5,100.0,0
65439,67,12.1,112.8,1
240456,69,4.0,80.5,0
271038,49,11.2,99.4,1
287469,71,6.8,105.9,1
162074,56,12.4,81.9,0
178707,96,11.0,83.7,1
91909,88,9.6,96.1,0
43068,95,10.2,111.2,1
260201,64,2.0,97.9,0
278664,44,5.8,99.7,0
122515,101,7.2,86.4,0
270878,99,5.4,84.5,0
259061,104,8.2,101.7,0
19934,57,3.3,113.2,0
155446,63,1.4,100.4,1
200111,39,12.1,90.5,0
42506,90,7.1,103.2,1
86894,32,13.3,93.2,0
206949,87,9.4,87.7,1
36959,20,9.9,101.2,0
288468,23,5.1,105.9,1
241834,72,3.7,82.1,0
228586,34,10.9,91.2,1
126412,63,4.6,108.8,1
243174,11,8.2,113.4,1
137906,53,4.4,83.3,0
176979,43,10.3,89.7,0
155891,6,2.1,109.3,1
144657,45,8.9,98.1,0
268192,71,9.0,99.8,0
112899,13,2.8,81.1,0
290590,49,7.2,109.5,1
251896,92,10.5,88.3,1
252913,81,6.5,88.5,0
65305,27,2.2,92.4,0
266603,110,6.4,113.6,1
197532,90,7.2,105.3,1
15966,92,8.0,108.3,1
70356,71,1.9,95.2,0
266857,70,3.6,95.4,0
22375,72,7.5,95.1,0
58938,64,10.8,107.0,1
196354,53,11.4,90.7,1
105515,31,3.2,87.3,0
83830,49,13.1,101.1,0
236912,60,1.6,108.6,1
76859,82,8.7,94.7,0
185473,60,8.8,96.1,0
63483,51,6.3,109.7,1
294220,65,6.1,103.7,1
223258,61,1.6,95.4,0
221977,89,5.2,95.9,1
197558,12,7.6,91.5,0
78633,114,9.9,98.5,0
82586,87,7.7,95.6,0
69705,54,4.1,103.6,0
57453,17,2.9,105.1,0
166785,115,3.9,101.6,0
228122,71,10.4,106.6,1
94641,80,8.0,97.7,0
291580,65,5.9,94.2,0
237057,58,1.4,107.7,1
292192,31,7.0,87.6,0
66849,55,9.0,80.7,0
79634,119,3.1,87.1,0
14514,32,8.4,104.4,1
64304,36,5.2,96.8,0
269938,41,12.5,105.8,1
279378,29,5.6,98.3,0
59952,41,3.8,115.0,1
287922,58,1.4,89.9,0
86755,51,10.3,110.3,1
93910,119,8.7,84.7,0
117271,65,1.6,85.1,0
112068,103,10.1,84.6,1
138929,83,7.1,102.3,1
147802,24,6.6,112.1,1
153045,60,2.2,92.4,0
115301,14,12.6,103.7,1
18652,21,7.7,109.9,0
176660,95,11.1,106.0,1
178639,53,6.1,106.9,1
242448,118,6.3,98.2,1
290564,113,11.4,82.7,1
294901,9,12.0,99.2,1
41778,57,13.4,99.3,0
211184,10,11.9,84.9,0
218868,108,4.6,105.9,1
243263,90,1.6,89.9,1
167194,60,1.1,81.9,0
199937,31,7.7,106.4,1
298643,27,6.9,86.3,0
127489,32,1.7,111.0,1
72194,74,10.3,100.2,0
64133,99,4.6,112.5,1
34209,59,2.7,107.4,0
127742,113,4.4,99.3,0
289399,88,6.2,93.4,1
175896,103,13.8,85.2,1
271912,19,5.2,80.1,0
118006,71,4.7,107.4,1
117623,66,7.0,108.2,1
145696,46,5.5,94.3,0
149277,23,11.9,113.4,1
225085,72,2.3,102.2,1
22313,61,8.7,99.0,0
51931,19,13.0,107.7,1
199134,68,6.9,93.5,1
291927,58,3.7,105.7,1
229836,117,7.0,102.4,1
153294,108,4.0,80.4,1
21953,45,11.7,109.2,1
254652,112,9.4,86.5,1
234304,76,6.2,114.7,1
272864,90,7.3,101.7,0
85280,40,10.0,97.7,0
54900,9,9.9,87.3,0
128481,107,10.9,84.2,1
78047,95,3.6,112.0,1
232090,10,13.0,97.7,0
161011,8,12.1,104.4,1
175774,19,13.7,93.0,1
34375,63,7.2,105.2,1
263160,94,9.4,86.4,1
270784,55,12.0,82.4,1
75247,41,9.0,101.7,0
52611,25,11.1,104.6,1
189803,28,8.0,89.3,0
210451,107,1.1,104.9,1
230621,15,9.1,82.0,0
250237,34,2.0,103.6,1
51861,34,9.9,88.7,0
134948,79,2.5,106.3,1
200796,79,5.1,88.4,0
